Let's try something.	Mari kita coba sesuatu.
Ten years is a long time to wait.	Sepuluh tahun adalah waktu yang lama untuk menunggu.
Are they all the same?	Apakah mereka semua sama?
Thank you very much!	Terima kasih banyak!
Round trip? Only one-way.	Pulang pergi? Hanya sekali jalan.
It is said that "Hamlet" is the most interesting play ever written.	Dikatakan bahwa "Hamlet" adalah drama yang paling menarik yang pernah ada.
May I ask a question?	Bolehkah saya mengajukan sebuah pertanyaan?
You'll forget about me someday.	Kau akan melupakanku suatu hari nanti.
I can't live without a TV.	Aku tidak dapat hidup tanpa sebuah TV.
We can't sleep because of the noise.	Kami tak bisa tidur karena suara ribut itu.
It is already eleven.	Sudah jam sebelas.
What do you want?	Apa maumu?
Paris is the most beautiful city in the world.	Paris adalah kota tercantik di dunia.
I think I'm gonna go to sleep.	Aku pikir aku akan pergi tidur.
My name is Jack.	Nama saya Jack.
Is it far from here?	Apakah jauh dari sini?
Italy is a very beautiful country.	Italy adalah negara yang paling indah.
I'd like to stay for one night.	Aku ingin menginap semalam.
I have lost my wallet.	Dompetku hilang.
"Pass me the salt, please." "Here you are."	"Tolong ambilkan garam." "Ini, silahkan"
If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.	Kalau kamu tidak mau pakai tabir surya, ya, terserah. Nanti jangan mengeluh kalau kulitmu terbakar.
I'm tired.	Aku lelah.
The check, please.	Tolong bonnya.
I have a headache.	Aku sakit kepala.
She's faking sleep. That's why she's not snoring.	Dia pura-pura. Itulah. Itulah mengapa dia tidak mendengkur.
"If you're tired, why don't you go to sleep?" "Because if I go to sleep now I will wake up too early."	"Kalau kamu lelah, mengapa tidak pergi tidur?" , "Karena kalau aku pergi tidur sekarang, aku akan bangun terlalu pagi"
Despite the importance of sleep, its purpose is a mystery.	Meskipun tidur itu penting, maksud/tujuannya sendiri masih merupakan misteri.
I would like to give him a present for his birthday.	Saya ingin memberikan hadiah padanya di hari ulang tahunnya.
I'm starving!	Aku kelaparan!
He plays the piano very well.	Dia memainkan piano dengan sangat baik.
Why don't you eat vegetables?	Kenapa kamu tidak makan sayur?
The car crashed into the wall.	Mobil itu menabrak dinding.
Where there's a will, there's a way.	Dimana ada kemauan, disitu ada jalan.
"Good morning", said Tom with a smile.	"Selamat pagi," kata Tom sambil tersenyum.
It's cold.	Dingin.
I'm thirsty.	Aku haus.
You didn't tell him anything?	Kamu tidak mengatakan apa-apa padanya?
Could you call again later, please?	Bisakah kau menelepon lagi nanti?
Who am I talking with?	Dengan siapa saya bicara?
Smile now, cry later!	Tersenyumlah sekarang, menangislah kemudian!
What made you change your mind?	Apa yang membuat pikiranmu berubah?
I love lasagna.	Aku suka lasagna.
It is raining.	Sedang turun hujan.
She's really smart, isn't she?	Dia benar-benar pintar, ya?
I went to the zoo yesterday.	Aku pergi ke kebun binatang kemarin.
I watched TV this morning.	Aku menonton TV pagi ini.
I started learning Chinese last week.	Aku mulai mempelajari bahasa Mandarin minggu lalu.
How many times a day do you look at yourself in the mirror?	Berapa kali sehari kamu bercermin?
We went to London last year.	Kami pergi ke London tahun lalu.
Close the door when you leave.	Tutup pintunya ketika kamu pergi.
My little brother is watching TV.	Adikku sedang menonton TV.
The king was tired of his sycophants always praising him, so he sent them away.	Raja sudah bosan dengan para penjilat yang selalu menyanjungnya, sehingga ia menyuruh mereka pergi jauh-jauh.
If Spenser doesn't keep adding and translating sentences, the other contributors will surely surpass him.	Jika Spenser tidak terus menambah dan menerjemahkan kalimat, para kontributor lain sudah pasti akan melampauinya.
His essay gave only a superficial analysis of the problem, so it was a real surprise to him when he got the highest grade in the class.	Esainya hanya memberikan analisis yang sederhana terhadap permasalahan itu, karena itulah ia terkejut ketika ia mendapat nilai tertinggi di kelas.
When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.	Ketika kedua gadis mengutarakan pada John mereka memiliki perasaan terhadapnya, ia kebingungan kepada siapa dirinya sebaiknya berpasangan.
I like my job very much.	Aku sangat menyukai pekerjaanku.
I've changed my website's layout.	Aku telah mengubah tata letak situs webku.
You had plenty of time.	Kau punya banyak waktu.
I'm almost done.	Aku hampir selesai.
Life begins when you pay taxes.	Hidup dimulai ketika kau membayar pajak.
What are you talking about?	Apa yang sedang kamu bicarakan?
"Thank you." "You're welcome."	"Terima kasih." "Sama-sama."
Winter is my favorite season.	Musim dingin adalah musim favoritku.
He's sleeping like a baby.	Dia tidur seperti bayi.
There's a secret path on the left.	Ada jalan rahasia di sebelah kiri.
Smith has spent years studying the effects of sleep and sleep loss on memory and learning.	Smith telah menghabiskan bertahun-tahun memperlajari pengaruh tidur dan kurang tidur mengurangi daya ingat dan belajar.
He disappeared without a trace.	Dia menghilang tanpa jejak.
The best way to make your dreams come true is to wake up.	Cara terbaik agar mimpimu menjadi kenyataan adalah bangun.
The world doesn't revolve around you.	Dunia tidak berputar mengelilingimu.
We made pancakes for breakfast.	Kami membuat kue dadar untuk makan pagi.
I don't want to hear any more of your complaining.	Aku tidak ingin mendengar keluhanmu lagi.
I'm tired of eating fast food.	Aku sudah bosan memakan makanan siap saji.
How many hours of sleep do you need?	Berapa lama waktu tidur yang kamu butuhkan?
Life in prison is worse than the life of an animal.	Hidup di penjara lebih buruk dibanding hidupnya seekor binatang.
I want an MP3 player!	Aku ingin sebuah pemutar MP3!
No way!	Tak bisa!
You have been thinking about this problem the whole morning. Take a break; go eat lunch.	Kamu sudah memikirkan masalah ini sejak pagi. Beristirahatlah! Ayo makan siang!
Everyone deserves a second chance.	Semua orang layak untuk mendapatkan kesempatan kedua.
Who painted this painting?	Siapa yang melukis lukisan ini?
Aren't you ashamed to talk like that?	Tidakkah kamu merasa malu mengatakan seperti itu?
Can I pay by credit card?	Bisakah saya membayar dengan menggunakan kartu kredit?
It would of course be cheaper for you to sleep at our place.	Tentu saja tidur di tempat kami akan lebih murah bagi anda.
I'm getting ready for the worst.	Aku bersiap untuk kemungkinan terburuk.
They are waiting for you in front of the door.	Mereka sedang menunggumu di depan pintu.
Pick up your things and go away.	Ambil semua barangmu dan pergilah.
I've been waiting for hours.	I telah menunggu beberapa jam.
I liked this film.	Dulu aku suka film ini.
I don't care.	Saya tidak peduli.
I'm not convinced at all.	Aku tidak terbujuk sama sekali.
We learn from experience that men never learn anything from experience.	Kita belajar dari pengalaman bahwa kita tidak pernah belajar apapun dari pengalaman.
Like father, like son.	Seperti ayah, seperti anak.
I don't expect anything from you.	Aku tidak mengharapkan apa-apa darimu.
Wait in the waiting room.	Silakan menunggu di ruang tunggu.
Enjoy your meal!	Nikmati makananmu!
I don't want it anymore.	Aku sudah tidak menginginkannya.
Would you like to come?	Apakah Anda akan datang?
I knew he would accept.	Aku tahu dia akan setuju.
I thought it was true.	Aku kira itu benar adanya.
How much is it?	Berapa harganya?
Here is your change.	Ini kembalian Anda.
Did you leave a tip?	Apa kau meninggalkan tip?
I want to know who is coming with us.	Saya ingin tahu siapa yang akan datang bersama kita.
Who are those guys?	Siapa orang-orang itu?
I don't agree with him.	Aku tidak setuju dengan dia.
Wolves won't usually attack people.	Serigala biasanya tidak menyerang manusia.
You've given me your cold.	Aku tertular pilekmu.
You need not telephone me.	Kamu tidak perlu meneleponku.
I brought you a little something.	Aku membawakanmu sesuatu.
You don't have to come tomorrow.	Kamu tidak harus datang besok.
I have to take medicine.	Aku harus minum obat.
I'm taking a walk in a park.	Aku berjalan-jalan di taman.
My hobby is to listen to music.	Hobiku mendengarkan musik.
It happened a long time ago.	Itu terjadi dahulu kala.
Where have you been?	Dari mana kamu?
It's been snowing all night.	Salju turun sepanjanng malam.
They forgot to lock the door.	Mereka lupa mengunci pintu.
How did your interview go?	Bagaimana dengan wawancara anda?
She is mad at me.	Dia marah padaku.
During winter I sleep with two blankets.	Selama musim dingim aku tidur dengan dua lembar selimut.
Are you angry at what I said?	Apakah kamu marah pada apa yang aku katakan?
Have you ever climbed Mt. Fuji?	Apakah kamu pernah mendaki Gunung Fuji?
You have to learn standard English.	Kamu harus mempelajari bahasa Inggris yang baku.
Can you keep a secret?	Bisakah kau menjaga rahasia?
You are tired, aren't you?	Kamu lelah, ya?
You can rely on him.	Kau bisa mengandalkannya.
You must be careful not to make him angry.	Kamu harus hati-hati jangan membuatnya marah.
You are selling him short.	Kau meremehkan dia.
You should pay more attention to what he says.	Kau harus lebih memperhatikan apa yang dia katakan.
You had better not play on his generous nature.	Lebih baik kamu tidak mengambil keuntungan dari kebaikan hatinya.
You can depend on his help.	Kamu bisa mengandalkan bantuannya.
Can you ride a horse?	Dapatkah kamu menunggang kuda?
What do you usually do on Sundays?	Apa yang biasa kamu lakukan pada hari Minggu?
Are you a Japanese student?	Apakah kamu siswa dari Jepang?
Do you keep a diary?	Apa kamu menulis buku harian?
You work too hard.	Kamu bekerja terlalu keras.
Do you live here?	Apakah kamu tinggal di sini?
You won't be late, will you?	Kau tidak akan terlambat, bukan?
Who are you waiting for?	Siapa yang sedang anda tunggu l
Are you meeting someone here?	Apakah kau akan menemui seseorang di sini?
You look very pale.	Kamu terlihat sangat pucat.
I'm proud of you.	Aku bangga padamu.
Can you throw a fastball?	Apa kau bisa melempar bola cepat?
You look as healthy as ever.	Kau terlihat sehat seperti biasanya.
You will have heard this story before.	Kamu nanti akan mendengar cerita ini.
You should follow your teacher's advice.	Kamu harus mengikuti petunjuk gurumu.
Can you eat raw oysters?	Apa kau bisa memakan tiram mentah?
Are you fond of swimming?	Apakah kamu sangat menyukai berenang?
Did you do your homework by yourself?	Apakah kamu sendiri yang mengerjakan PR-mu?
You have a light hand, don't you?	Kamu ringan tangan, 'kan?
You must share your jobs with others.	Bagilah pekerjaanmu dengan yang lain.
You should be ashamed of your conduct.	Kamu seharusnya malu dengan tingkah laku kamu itu.
You must perform your duty.	Kau harus melaksanakan tugasmu.
You must control yourself.	Kamu harus mengendalikan dirimu.
You may use my new car.	Kau boleh menggunakan mobil baruku.
You lied to me, didn't you?	Kau berbohong, kan?
You were late for work.	Kau terlambat untuk bekerja.
Did you go out last night?	Apa semalam kau pergi keluar?
Did you hear about the fire yesterday?	Apa kamu dengar tentang kebakaran yang terjadi kemarin?
Why were you absent yesterday?	Kenapa kemarin kamu tidak masuk?
You look happy today.	Kamu terlihat bahagia hari ini.
You look very charming today.	Kau terlihat sangat menawan hari ini.
You have to go.	Kamu harus pergi.
You'd better not go.	Sebaiknya kamu tidak pergi.
Are you happy?	Apa kamu senang?
You did an excellent job.	Kau mengerjakannya dengan sangat baik.
I suppose you're hungry.	Kamu sepertinya lapar.
Have you ever been to Kyushu?	Apa kau pernah pergi ke Kyushu?
You'd better hurry up.	Sebaiknya kamu cepat-cepat.
I think that you're wrong.	Aku pikir kau salah.
You've done a perfect job.	Kau mengerjakannya dengan sempurna.
Would you like to go abroad?	Apa kamu ingin pergi ke luar negeri?
Do you plan to go abroad?	Apa kamu berencana pergi ke luar negeri?
You like fruit.	Kamu suka buah.
What grade are you in?	Kamu kelas berapa?
What are you looking for?	Apa yang sedang kamu cari?
What are you looking at?	Apa yang sedang kamu lihat?
What woke you up?	Apa yang membuatmu terbangun?
Do you belong to any clubs?	Apa kamu mengikuti sebuah klub?
Are you not able to speak English?	Apa kau tidak bisa berbahasa Inggris?
You can swim, can't you?	Kamu bisa berenang, kan?
You have only to study hard.	Kamu hanya harus belajar dengan keras.
You'll never be alone.	Kamu tak akan pernah sendirian.
You should follow the doctor's advice.	Kau harus mengikuti petunjuk dokter.
You'd better consult the doctor.	Sebaiknya kau berkonsultasi dengan dokter.
You've set a bad example.	Kau memberi contoh yang buruk.
You're really a hard worker.	Kau benar-benar seorang pekerja keras.
You have a good sense of humor.	Kau punya selera humor yang bagus.
Have you ever seen a UFO?	Apakah kamu pernah melihat UFO?
You are no longer a mere child.	Kamu bukan lagi seorang anak kecil.
You should have known better.	Kau seharusnya menyadari akan hal itu.
You should know better.	Kamu harusnya tahu.
You should be more careful.	Kau harus lebih berhati-hati.
You should have come earlier.	Seharusnya kamu datang lebih awal.
Have you taken your medicine yet?	Apakah kamu sudah minum obat?
You must go to bed now.	Kau harus pergi tidur sekarang.
Have you turned in your report?	Sudahkah kamu menyerahkan laporanmu?
You haven't changed at all.	Kau tidak berubah sama sekali.
Can you speak French?	Apakah Anda bisa berbahasa Prancis?
You'd better go by bus.	Lebih baik kau pergi dengan bus.
Why can't you come?	Kenapa kamu tidak bisa datang?
What prevented you from coming earlier?	Apa yang menghalangimu untuk datang lebih awal?
How often do you go abroad?	Seberapa sering kamu pergi ke luar negeri?
How long will you stay here?	Berapa lama kau akan tinggal di sini?
How do you get to school?	Kamu pergi ke sekolah dengan apa?
How high can you jump?	Seberapa tinggi kamu dapat melompat?
How tall are you?	Seberapa tinggi kamu?
You are very brave.	Kamu berani sekali.
You look very tired.	Kamu terlihat sangat lelah.
You may go anywhere you like.	Kamu boleh pergi ke mana pun yang kamu suka.
Where were you?	Tadi kamu di mana?
What are you doing?	Kamu lagi ngapain?
What has made you decide to work for our company?	Apa yang membuat Anda memutuskan untuk bekerja di perusahaan kami?
Who did you give it to?	Kepada siapa kamu memberikannya?
You could have done it.	Kau harusnya bisa melakukannya.
Do you have one?	Apa kamu punya satu?
When did you finish it?	Kapan kamu menyelesaikannya?
Do you know the reason?	Apa kau tahu alasannya?
Have you finished reading the novel?	Apa kamu sudah selesai membaca novel itu?
Did you watch the game?	Apa kamu melihat pertandingan itu?
You'd better not go there.	Sebaiknya kamu tidak pergi ke sana.
You may go there.	Kamu boleh pergi ke sana.
You should have done so.	Seharusnya kamu melakukannya.
You've got a lot of guts.	Kamu berani sekali.
Can you read this kanji?	Dapatkah kau membaca kanji ini?
All you have to do is sign your name here.	Yang perlu Anda lakukan hanyalah menandatangani nama Anda di sini.
You can study here.	Kamu bisa belajar di sini.
You'd better not wait here.	Kamu sebaiknya tidak menunggu di sini.
When will you leave here?	Kapan kamu berangkat dari sini?
You are always complaining.	Kamu selalu saja mengeluh.
What on earth are you talking about?	Apa yang kau bicarakan?
Some day you will have to reap the harvest of your own sowing.	Suatu hari kau akan menuai hasil dari apa yang kau tabur.
How much money do you want?	Berapa banyak uang yang kamu inginkan?
You must be tired after such a long trip.	Kamu pasti lelah setelah perjalanan jauh.
Have you ever been to America?	Pernah ke Amerika?
Are you on the committee?	Apakah Anda anggota dari komite?
Did you leave the window open?	Apa kamu membiarkan jendelanya terbuka?
You made the mistake on purpose, didn't you?	Kamu membuat kesalahan dengan sengaja, kan?
When did you begin learning German?	Kapan kamu mulai belajar bahasa Jerman?
Please give me your permanent address.	Tolong beritahu saya alamat tetap Anda.
I admire your courage.	Aku memuji keberanianmu.
I know your name.	Aku tahu namamu.
What grade is your sister in?	Adikmu kelas berapa?
Your book is on the desk.	Bukumu ada di atas meja.
Your hair is too long.	Rambutmu terlalu panjang.
Your problem is similar to mine.	Masalahmu sama denganku.
Your answer is right.	Jawabanmu benar.
Your answer is wrong.	Jawabanmu salah.
I think your answer is correct.	Aku pikir jawabanmu benar.
May I use your phone?	Boleh pinjam ponselmu?
It's none of your business.	Ini bukan urusanmu.
When is your birthday?	Kapan ulang tahunmu?
I will give you a bicycle for your birthday.	Aku akan berikan kamu sepeda di hari ulang tahunmu.
Your birthday is drawing near.	Ulang tahunmu semakin dekat.
You shall have a bicycle for your birthday.	Kamu akan mendapatkan sepeda di hari ulang tahunmu.
Aren't you being very rude?	Tidakkah kamu menjadi sangat kasar?
There's no room for excuses when it comes to your negligence, is there?	Tidak ada ruang untuk alasan ketika itu datang dari kelalaian anda, adakah?
Your son took part in the student movement, I hear.	Aku dengar, anak laki-lakimu ikut serta dalam pergerakan pelajar.
Is this your son, Betty?	Apakah ini anak laki-lakimu, Betty?
I cannot accept your gift.	Saya tidak bisa menerima hadiah darimu.
Your explanation sounds plausible, but it just doesn't hold water.	Penjelasan anda terdengar masuk akal, tapi air itu tidak bisa dipegang.
Go back to your seat.	Kembali ke tempat dudukmu!
You may have good reason to think that your youth is over.	Barangkali anda punya alasan untuk berfikir bahwa masa muda anda sudah berakhir.
I didn't mean to hurt you.	Aku tidak bermaksud menyakitimu.
I like the way you smile.	Aku suka cara kamu tersenyum.
I don't need your help.	Aku tidak butuh bantuanmu.
Write your address here.	Tulis alamatmu di sini.
This happened prior to receiving your letter.	Kejadian ini terjadi sebelum aku menerima suratmu.
I received your letter yesterday.	Aku menerima suratmu kemarin.
Are your hands clean?	Apakah tanganmu sudah bersih?
Please lend me your car.	Tolong pinjamkan aku mobilmu.
May I take your picture?	Bolehkah aku mengambil gambarmu?
May I borrow your dictionary?	Apakah aku boleh meminjam kamusmu?
Your bicycle is similar to mine.	Sepedamu mirip dengan milikku.
Your bike is better than mine.	Sepedamu lebih baik ketimbang milikku.
Is your watch correct?	Apakah jam Anda waktunya tepat?
Your watch is ten minutes slow.	Jam tanganmu terlambat sepuluh menit.
Where are your things?	Ada dimana barang-barangmu?
Just follow your heart.	Ikutilah kata hatimu.
Your work is below average.	Pekerjaanmu di bawah rata-rata.
What do you do?	Apa yang sedang kamu lakukan?
Your composition has a few mistakes.	Terdapat beberapa kesalahan pada karanganmu.
Where do you come from?	Dari mana asalmu?
I know what you mean.	Aku tahu apa maksudmu.
What you are saying does not make sense.	Yang kamu katakan itu tidak masuk akal.
I think you're right.	Aku pikir kamu benar.
You may be right.	Mungkin kamu benar.
I have been anxious about your health.	Saya khawatir akan kesehatanmu.
Your plan seems better than mine.	Rencanamu sepertinya lebih baik daripada milikku.
Tell me about your plan.	Beritahu aku tentang rencanamu.
Your shoes are here.	Sepatumu ada di sini.
Can I use your pencil?	Bolehkah aku menggunakan pensilmu?
Your English is improving.	Bahasa Inggrismu meningkat.
Your English has improved a lot.	Bahasa Inggrismu mengalami banyak peningkatan.
I want your opinion.	Aku ingin mendengar pendapatmu.
Your opinion is similar to mine.	Pendapatmu mirip dengan pendapatku.
Your time is up.	Waktumu sudah habis.
Your pen is better than mine.	Pulpenmu lebih baik daripada milikku.
Your plan sounds great.	Rencanamu kedengarannya bagus.
Your tie has come undone.	Dasimu lepas.
Your dress is very nice.	Gaunmu indah sekali.
I'll come to your place.	Aku akan pergi ke tempatmu.
I will do anything for you.	Aku akan melakukan apa saja untukmu.
We are worried about you.	Kami mengkhawatirkanmu.
I have absolute trust in you.	Aku percaya sepenuhnya padamu.
Your cake is delicious.	Kuemu enak.
Here is your bag.	Ini dia tasmu.
I took your umbrella by mistake.	Aku salah membawa payungmu.
Your mother is in critical condition.	Ibumu dalam keadaan kritis.
I'd like to see your father.	Aku ingin bertemu dengan ayahmu.
What does your aunt do?	Bibimu sedang melakukan apa?
Where does your uncle live?	Di mana pamanmu tinggal?
Your chair is identical to mine.	Kursimu sama persis dengan milikku.
I don't agree with you.	Aku tidak setuju denganmu.
I want you to read this book.	Saya ingin kamu baca buku ini.
I'll lend it to you.	Aku akan meminjamkannya padamu.
I'll make you a new suit.	Aku akan membuatkanmu pakaian baru.
I'll lend you my notebook.	Aku akan meminjamkanmu buku catatanku.
I want you to go.	Aku ingin kamu pergi.
I wanted to show it to you.	Aku ingin menunjukkannya padamu.
How I've missed you!	Aku sangat rindu padamu!
I want you to work harder.	Aku ingin kamu bekerja lebih keras lagi.
I expect you to be punctual.	Aku ingin kamu selalu tepat waktu.
You have a gift for music.	Kamu punya bakat di bidang musik.
You make me feel so guilty.	Kamu membuatku merasa sangat bersalah.
You deserve the prize.	Kau layak mendapatkan hadiah itu.
I am disgusted with you.	Aku sudah muak denganmu.
You should have seen it.	Kamu harusnya melihatnya.
Didn't I tell you so?	Tidakkah aku berkata begitu padamu?
I'm anxious to see you.	Aku ingin sekali bertemu denganmu.
I'll lend you this book.	Aku akan meminjamkanmu buku ini.
I'll give you this pendant.	Aku akan memberimu liontin ini.
I'll give you this camera.	Aku akan memberimu kamera ini.
I'll give you this money.	Aku akan memberimu uang ini.
Let me give you some advice.	Aku akan memberimu sedikit nasihat.
I owe you ten dollars.	Aku berhutang 10 dolar padamu.
You and I are good friends.	Kau dan aku adalah sahabat.
You didn't need to hurry.	Kau tidak perlu terburu-buru.
You must conform to the rules.	Kalian harus mematuhi aturan.
Who is your teacher?	Siapa gurumu?
I don't approve your decision.	Aku tidak setuju dengan keputusan kalian.
Your team is stronger than ours.	Tim kalian lebih kuat ketimbang tim kami.
It's a pity that you can't come.	Sayang sekali Anda tidak bisa datang.
Show me what you bought.	Tunjukkan padaku apa yang kamu beli.
I saw you with a tall boy.	Aku melihatmu bersama anak laki-laki yang badannya tinggi.
You have good reason to be angry.	Kamu punya alasan tepat untuk marah.
I guess you are right.	Aku rasa kamu benar.
Do what you think is right.	Lakukan apa yang kamu pikir benar.
I don't have as much money as you think.	Aku tidak punya banyak uang seperti yang kau kira.
You don't need to go unless you want to.	Kamu tidak harus pergi kecuali kalau kamu memang mau.
It's clear that you're wrong.	Kau jelas-jelas sudah salah.
Whatever you may say, you won't be believed.	Apapun yang kau katakan tidak akan dipercaya.
I wish you were close to me.	Aku harap kau berada dekat denganku.
I'm glad you liked it.	Aku senang kamu menyukainya.
I don't blame you.	Aku tidak menyalahkanmu.
It was too bad you couldn't come.	Sayang sekali kamu tidak bisa datang.
It's a pity that you couldn't come.	Sayang sekali kamu tidak bisa datang.
We shall all miss you when you go away.	Kami semua akan merindukanmu ketika kau pergi.
What time will you leave?	Kamu berangkat jam berapa?
Bears also tend to sleep more during the day than at night, although in the summer, with twenty-four hours of light, this does not apply.	Beruang-beruang juga berkeinginan untuk tidur pada siang hari dibanding malam hari, juga diwaktu musim panas, dengan diberi cahaya selama dua puluh empat jam, hal ini tidak bisa berlaku.
How long does a bear sleep?	Berapa lama beruang tidur?
Please put on your shoes.	Tolong kenakan sepatu Anda.
Please take off your shoes.	Tolong lepas sepatu Anda.
I bought a pair of shoes.	Aku membeli sepasang sepatu.
What size shoes do you wear?	Berapa ukuran sepatu yang kamu kenakan?
My shoes are worn out.	Sepatuku sudah usang.
I met her by accident.	Aku tidak sengaja bertemu dengannya.
The sky looks angry.	Langit tampaknya marah.
I'll drive you to the airport.	Aku akan mengantarmu sampai ke bandara.
A time bomb went off in the airport killing thirteen people.	Bom waktu yang meledak di dalam bandara itu menewaskan tiga belas orang.
Air is to man what water is to fish.	Udara bagi manusia layaknya air bagi ikan.
The sky is clear almost every day.	Langitnya hampir setiap hari cerah.
The sky became darker and darker.	Langitnya semakin gelap dan gelap.
Countless stars were twinkling in the sky.	Bintang yang tak terkian berkerlapan di langit.
The sky has become overcast.	Langitnya menjadi mendung.
The sky is getting dark.	Langitnya semakin gelap.
I make it a rule not to watch television after nine o'clock.	Saya membuat aturan untuk tidak menonton televisi setelah jam sembilan.
Open your book to page nine.	Buka bukumu ke halaman sembilan.
I've been to the bank.	Aku baru saja pergi ke bank.
The bank isn't open on Sundays.	Banknya tidak buka pada hari Minggu.
The bank came through with the loan we had requested.	Bank itu memberikan pinjaman yang kami minta.
How late is the bank open?	Banknya buka sampai pukul berapa?
Banks open at nine o'clock.	Bank buka pada pukul sembilan.
The bank is three blocks away.	Banknya terletak di tiga blok dari sini.
Please go to the bank.	Tolong pergilah ke bank.
When you put money in the bank, you deposit it.	Ketika kau menyimpan uang di bank, itu artinya kau mendepositokannya.
I have to withdraw some cash from the bank.	Saya perlu mengambil uang di bank.
Are you free on Friday afternoon?	Apakah Anda ada acara Jumat siang?
Give me your money.	Berikan uangmu.
I wish I were rich.	Aku harap aku kaya.
I should have taken the money.	Harusnya aku tidak mengambil uangnya.
Gold is more precious than iron.	Emas lebih berharga ketimbang besi.
Gold is far heavier than water.	Emas jauh lebih berat ketimbang air.
The price of gold fluctuates daily.	Harga dari emas berubah-ubah setiap harinya.
I am short of money.	Aku kekurangan uang.
Some of the money was stolen.	Sejumlah uang telah dicuri.
Recent advances in medicine are remarkable.	Beberapa kemajuan dalam ilmu kedokteran belakangan ini sangat menakjubkan.
I haven't slept well recently.	Aku tidak tidur dengan nyenyak akhir-akhir ini.
The sudden increase of cars is causing a large number of traffic accidents every day.	Peningkatan kendaraan bermotor yang mendadak mengakibatkan menambahnya jumlah kecelakaan.
Few people visit me these days.	Akhir-akhir ini, sedikit orang mengunjungiku.
